stimulus_range,stimulus_duration,onset,feedback,feedback_range_fromfile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_cross.started,fixation_cross.stopped,interval_start.started,interval_start.stopped,interval_end.started,interval_end.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,fixation_cross_reproduction.started,fixation_cross_reproduction.stopped,reproduction_start.started,reproduction_start.stopped,key_resp_stop.keys,key_resp_stop.rt,key_resp_stop.started,key_resp_stop.stopped,feedback_range,hit,stimulus_range,reproduction_end.started,reproduction_end.stopped,fixation_cross_feedback.started,fixation_cross_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ms_small,1.024,0.1,False,None,0,23,23,23,98.32478110000375,None,98.4080553999811,98.45784119999735,99.42451429998619,99.47507149999728,space,0.7400055000034627,99.42451429998619,None,100.19396569998935,None,100.19396569998935,100.25787689999561,space,0.7614135000039823,100.19396569998935,None,None,None,ms_small,100.97729539999273,101.04077619998134,100.97729539999273,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.882,0.3,False,None,0,24,24,24,101.4909129999869,None,101.77411919998121,101.82429689998389,102.65734869998414,102.7064327999833,space,0.8733479999937117,102.65734869998414,None,103.56024399999296,None,103.56024399999296,103.6236585000006,space,0.7285608999955002,103.56024399999296,None,None,None,ms_small,104.30900979999569,104.37360659998376,104.30900979999569,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.988,0.1,False,None,0,25,25,25,104.8234805999964,None,104.90689159999602,104.95685249997769,105.89008869999088,105.94083769997815,space,0.9490723999915645,105.89008869999088,None,106.85969579999801,None,106.85969579999801,106.92326499999035,space,0.6632463999849278,106.85969579999801,None,None,None,ms_small,107.54248750000261,107.60678989998996,107.54248750000261,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.706,0.2,False,None,0,26,26,26,108.05641479999758,None,108.23957799997879,108.28957819999778,108.9393446999893,108.98966469999868,space,0.8921841999981552,108.9393446999893,None,109.85914249997586,None,109.85914249997586,109.92226729998947,space,0.6750443000055384,109.85914249997586,None,None,None,ms_small,110.55846549998387,110.62236710000434,110.55846549998387,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.918,0.3,False,None,0,27,27,27,111.07065599999623,None,111.33886150000035,111.38903569997638,112.25482949998695,112.3057981999882,space,0.8797576000215486,112.25482949998695,None,113.15874749998329,None,113.15874749998329,113.22198059997754,space,0.7711067000054754,113.15874749998329,None,None,None,ms_small,113.9581804999907,114.0218051999982,113.9581804999907,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.706,0.1,False,None,0,28,28,28,114.47236009998596,None,114.55454429998645,114.60475810000207,115.25507809998817,115.30567879998125,space,0.8511068999941926,115.25507809998817,None,116.12479089997942,None,116.12479089997942,116.18818060000194,space,0.7252240999951027,116.12479089997942,None,None,None,ms_small,116.87221949998639,116.9379643999855,116.87221949998639,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.918,0.1,False,None,0,29,29,29,117.38798689999385,None,117.471255499986,117.52124390000245,118.38790439997683,118.43836800000281,space,0.9195774999971036,118.38790439997683,None,119.34090169999399,None,119.34090169999399,119.40417419999721,space,0.7894536000094377,119.34090169999399,None,None,None,ms_small,120.15724030000274,120.22124369998346,120.15724030000274,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.67,0.2,False,None,0,30,30,30,120.67067349998979,None,120.85402509997948,120.90400559999398,121.52044199997908,121.57068409997737,space,4.837048999994295,121.52044199997908,None,126.38969609999913,None,126.38969609999913,126.45303380000405,space,0.6466142999997828,126.38969609999913,None,None,None,ms_small,127.05674829997588,127.1186831999803,127.05674829997588,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.988,0.1,False,None,0,31,31,31,127.5694348999823,None,127.65287079999689,127.7028289999871,128.63597289999598,128.68684949999442,space,0.8506112000031862,128.63597289999598,None,129.50561239998206,None,129.50561239998206,129.56903729998157,space,0.8482201999868266,129.50561239998206,None,None,None,ms_small,130.38439349998953,130.43577489999007,130.38439349998953,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.953,0.2,False,None,0,32,32,32,130.8855660999834,None,131.06884209997952,131.11881949999952,132.01862859999528,132.069219099998,space,0.8447188999853097,132.01862859999528,None,132.8884824999841,None,132.8884824999841,132.95186539998394,space,0.9589056000113487,132.8884824999841,None,None,None,ms_small,133.8713009999774,133.93412789999275,133.8713009999774,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
